Symbol,Name,1H Cloud Score,1D Cloud Score,1W Cloud Score,1M Cloud Score,Cloud Score Sum,1H TKx Score,1D TKx Score,1W TKx Score,1M TKx Score,TKx Score Sum,Total Score Sum
DTE,DTE Energy,-46,-6,13,0,-39,-25,-16,31,-19,-29,-68
IDXX,Idexx Laboratories,-40,-11,0,0,-51,10,-24,-9,5,-18,-69
DXCM,Dexcom,-10,-27,20,0,-17,-1,-54,-5,7,-53,-70
NUE,Nucor,-17,-53,-2,42,-30,-25,-53,-5,43,-40,-70
CMCSA,Comcast,-15,-6,-12,-6,-39,-25,-2,-14,8,-33,-72
ALLE,Allegion,-19,-59,33,0,-45,-3,-28,-5,8,-28,-73
MAS,Masco,-62,-39,38,9,-54,7,-32,-5,8,-22,-76
TROW,T. Rowe Price,-51,-2,12,-17,-58,-9,-9,24,-26,-20,-78
CMS,CMS Energy,-41,-10,13,0,-38,-29,-22,29,-19,-41,-79
HAL,Halliburton,-19,-33,-6,14,-44,-17,-51,-5,38,-35,-79
ARE,Alexandria Real Estate Equities,0,-31,0,-17,-48,-7,5,-7,-23,-32,-80
TMO,Thermo Fisher Scientific,-66,-13,27,0,-52,-1,-27,-1,1,-28,-80
KEY,KeyCorp,2,-31,0,-17,-46,-15,5,-5,-20,-35,-81
CME,CME Group,-5,-29,-2,0,-36,-17,-26,-6,4,-45,-81
TDY,Teledyne Technologies,-17,-10,-6,0,-33,-17,-22,-12,2,-49,-82
CCI,Crown Castle,-4,-15,-6,-16,-41,8,-15,-12,-23,-42,-83
ROK,Rockwell Automation,-17,-6,-15,2,-36,-28,7,-41,14,-48,-84
K,Kellanova,-40,-9,0,-2,-51,-25,-21,24,-12,-34,-85
LKQ,LKQ Corporation,-3,-60,-15,0,-78,6,4,-7,-10,-7,-85
SBAC,SBA Communications,1,-16,-27,-7,-49,8,-5,-18,-22,-37,-86
IVZ,Invesco,1,-17,-5,-15,-36,1,-20,-9,-23,-51,-87
MKC,McCormick & Company,0,-24,-2,-4,-30,-23,-31,16,-20,-58,-88
AMCR,Amcor,-62,-6,0,0,-68,2,-16,11,-17,-20,-88
WST,West Pharmaceutical Services,-10,-50,-2,0,-62,-26,-1,-8,9,-26,-88
PYPL,PayPal,2,-18,-3,-26,-45,-2,-12,-2,-28,-44,-89
TTWO,Take-Two Interactive,-40,0,0,0,-40,-49,-10,2,7,-50,-90
LYB,LyondellBasell,-19,-32,0,21,-30,-32,-33,-1,5,-61,-91
HSY,Hershey's,-3,-19,-47,0,-69,-1,-24,9,-6,-22,-91
VRSN,Verisign,-50,-1,-23,-4,-78,-28,24,-22,12,-14,-92
HST,Host Hotels & Resorts,-55,-60,0,29,-86,2,-6,-7,5,-6,-92
JNJ,Johnson & Johnson,-9,-31,-25,-2,-67,7,-1,-13,-18,-25,-92
BXP,"BXP, Inc.",-17,-10,-5,-28,-60,-10,10,-13,-20,-33,-93
ED,Consolidated Edison,-62,-18,-3,29,-54,-25,-26,11,1,-39,-93
ACN,Accenture,-17,-75,-1,0,-93,-10,13,-10,6,-1,-94
HAS,Hasbro,-57,-9,0,-26,-92,5,-2,15,-22,-4,-96
KDP,Keurig Dr Pepper,-41,0,12,-1,-30,-53,-7,9,-15,-66,-96
PPG,PPG Industries,0,-62,-8,-2,-72,10,-28,-11,5,-24,-96
CSGP,CoStar Group,-11,-40,-6,0,-57,-18,-31,-7,16,-40,-97
LUV,Southwest Airlines,-17,2,-3,-26,-44,-16,-2,-10,-25,-53,-97
ITW,Illinois Tool Works,-47,-61,-5,52,-61,-17,-30,-8,16,-39,-100
HSIC,Henry Schein,-8,-32,-7,-2,-49,-8,-25,-10,-10,-53,-102
HRL,Hormel Foods,-9,-27,-8,-17,-61,-17,-25,13,-17,-46,-107
BALL,Ball Corporation,-117,-17,24,-2,-112,-1,-25,29,1,4,-108
CE,Celanese,-48,-32,0,0,-80,4,-32,-5,5,-28,-108
CSCO,Cisco,-17,-36,-14,-4,-71,-21,6,-35,12,-38,-109
EQT,EQT Corporation,-111,-8,-2,29,-92,-11,-16,10,-3,-20,-112
WEC,WEC Energy Group,-19,-21,-8,-7,-55,-25,-30,10,-16,-61,-116
MTD,Mettler Toledo,-62,-2,10,3,-51,-69,-10,25,-12,-66,-117
BLDR,Builders FirstSource,-91,-43,0,52,-82,-25,-63,-6,58,-36,-118
DG,Dollar General,-3,-55,-6,-12,-76,5,-27,-7,-14,-43,-119
TAP,Molson Coors Beverage Company,-19,-48,-11,0,-78,-19,-54,-5,37,-41,-119
VICI,Vici Properties,-35,-21,-8,1,-63,-4,-27,-15,-10,-56,-119
AEE,Ameren,1,-21,-51,-2,-73,-11,-28,5,-15,-49,-122
BIO,Bio-Rad,0,-14,-63,-15,-92,17,-15,-11,-24,-33,-125
COO,CooperCompanies,-97,-15,-2,0,-114,-1,-15,-6,9,-13,-127
PFE,Pfizer,-3,0,-79,-11,-93,-3,-15,2,-18,-34,-127
BAX,Baxter International,3,-52,-11,-26,-86,-1,8,-9,-40,-42,-128
EPAM,EPAM Systems,-2,-74,-10,-14,-100,1,5,-10,-24,-28,-128
YUM,Yum! Brands,-128,-20,-1,52,-97,-35,-13,-1,16,-33,-130
CZR,Caesars Entertainment,-18,0,-25,-12,-55,-31,18,-40,-24,-77,-132
SWK,Stanley Black & Decker,0,-46,-8,-28,-82,15,-28,-11,-27,-51,-133
MKTX,MarketAxess,20,-29,-54,-16,-79,19,-23,-19,-31,-54,-133
ALGN,Align Technology,18,-48,-10,-12,-52,10,-61,-5,-25,-81,-133
WYNN,Wynn Resorts,-19,-57,-5,-1,-82,-31,-28,-5,12,-52,-134
CNC,Centene Corporation,-44,-29,-5,0,-78,-8,-23,-10,-15,-56,-134
CVS,CVS Health,-48,-8,-14,-6,-76,-29,-1,-12,-16,-58,-134
CF,CF Industries,-37,-19,-6,0,-62,-39,-15,-8,-11,-73,-135
ABT,Abbott,-46,-68,-1,0,-115,-2,-10,-9,1,-20,-135
RVTY,Revvity,-98,-7,0,-11,-116,8,-10,4,-22,-20,-136
IQV,IQVIA,-62,-35,23,0,-74,7,-69,-6,5,-63,-137
APA,APA Corporation,0,-48,-36,0,-84,-18,4,-33,-6,-53,-137
KHC,Kraft Heinz,-55,-29,-5,-2,-91,8,-42,-3,-12,-49,-140
IEX,IDEX Corporation,-34,-39,-6,0,-79,-1,-61,-6,6,-62,-141
VTRS,Viatris,5,-64,1,-88,-146,5,4,-8,4,5,-141
NSC,Norfolk Southern Railway,-3,-52,-1,0,-56,-10,-72,-7,1,-88,-144
A,Agilent Technologies,-45,-27,0,0,-72,-55,-26,28,-23,-76,-148
BDX,Becton Dickinson,-39,-11,-28,-4,-82,-25,-4,-36,-2,-67,-149
GPC,Genuine Parts Company,-56,-31,-3,42,-48,-58,-32,-4,-9,-103,-151
GIS,General Mills,-55,-23,-6,0,-84,-29,-31,-3,-6,-69,-153
UPS,United Parcel Service,-33,-34,-50,-7,-124,-1,4,-11,-21,-29,-153
MDT,Medtronic,-50,-17,-2,-26,-95,-2,-23,-8,-26,-59,-154
SJM,J.M. Smucker Company (The),2,-69,-44,-4,-115,-3,-12,-14,-10,-39,-154
ZBH,Zimmer Biomet,-10,-59,-8,-4,-81,-1,-61,-7,-6,-75,-156
APTV,Aptiv,0,-18,-45,-11,-74,-1,-19,-40,-23,-83,-157
LW,Lamb Weston,-90,-8,-15,15,-98,-50,-15,-15,20,-60,-158
CLX,Clorox,-33,-68,-2,-27,-130,-25,12,-9,-11,-33,-163
FMC,FMC Corporation,-19,-21,-62,-12,-114,-25,-28,13,-13,-53,-167
EXC,Exelon,-62,-21,-43,-2,-128,-11,-28,5,-11,-45,-173
DLTR,Dollar Tree,-3,-68,-14,-2,-87,7,-78,-9,-9,-89,-176
BEN,Franklin Templeton,-19,-62,-14,-7,-102,-11,-31,-11,-22,-75,-177
XEL,Xcel Energy,-40,-6,-61,-6,-113,-39,-15,1,-14,-67,-180
LVS,Las Vegas Sands,-55,-60,-13,-4,-132,-31,-26,-12,16,-53,-185
ALB,Albemarle Corporation,-3,-23,-71,-10,-107,-3,-25,-44,-12,-84,-191
BWA,BorgWarner,-62,-16,-37,-2,-117,-58,-24,11,-3,-74,-191
PAYC,Paycom,-10,-47,-50,-11,-118,-10,-30,-10,-24,-74,-192
GPN,Global Payments,1,-68,-10,-26,-103,-11,-72,-11,4,-90,-193
MTCH,Match Group,3,0,-132,-24,-153,7,-8,-15,-25,-41,-194
LULU,Lululemon Athletica,-59,-74,-10,0,-143,-10,-36,-15,8,-53,-196
NKE,"Nike, Inc.",-50,-7,-28,-12,-97,-57,-2,-21,-24,-104,-201
PARA,Paramount Global,35,-20,-150,-26,-161,41,-31,-21,-32,-43,-204
AAL,American Airlines Group,-17,-30,-7,-63,-117,-25,-29,-7,-26,-87,-204
ETSY,Etsy,-44,-18,-63,-17,-142,-10,-13,-19,-24,-66,-208
JBHT,J.B. Hunt,-10,-79,-13,0,-102,-17,-90,-13,12,-108,-210
WY,Weyerhaeuser,-63,-62,-8,-1,-134,8,-61,-7,-20,-80,-214
CRL,Charles River Laboratories,-63,-51,0,-13,-127,5,-66,-6,-24,-91,-218
SYY,Sysco,-41,-66,-2,0,-109,-53,-32,-7,-18,-110,-219
BBWI,"Bath & Body Works, Inc.",-160,-21,0,-2,-183,-61,-16,29,1,-47,-230
SBUX,Starbucks,-78,-7,-28,-3,-116,-81,-9,-25,-3,-118,-234
WBD,Warner Bros. Discovery,-16,-19,-47,-29,-111,-33,-17,-55,-32,-137,-248
BMY,Bristol Myers Squibb,-29,-62,-61,-10,-162,1,-3,-74,-11,-87,-249
DIS,Walt Disney Company (The),-40,-43,0,-28,-111,-54,-58,-1,-27,-140,-251
EL,Estée Lauder Companies (The),-47,-47,-63,-15,-172,-3,-60,-8,-22,-93,-265
MOS,Mosaic Company (The),-29,-31,-71,-3,-134,-32,-21,-63,-17,-133,-267
IPG,Interpublic Group of Companies (The),-153,-25,-7,0,-185,-50,-22,-9,-4,-85,-270
POOL,Pool Corporation,-117,-62,-6,-2,-187,-62,-28,-7,2,-95,-282
BF-B,Brown–Forman,-41,-85,-46,-11,-183,-62,-78,-41,-26,-207,-390
WBA,Walgreens Boots Alliance,-49,-108,-116,-65,-338,-61,-120,-19,-24,-224,-562
